id_code,Country,Location,StudyType,Latitude,Longitude ,Precision
C0179,Italy,Padua,Lethal and Sublethal,45.35,11.966667,Precise 
C0179,Italy,Padua,Lethal and Sublethal,45.35,11.966667,Precise 
C0179,Italy,Padua,Lethal and Sublethal,45.35,11.966667,Precise 
C0143,United States,California ,Lethal and Sublethal,38.67366346,-122.1985588,Not Precise 
C0069,Brazil,Sao Paulo,Survival ,-22.39575685,-47.54413552,Not Precise 
C0069,Brazil,Sao Paulo,Survival ,-22.39575685,-47.54413552,Not Precise 
C0069,Brazil,Sao Paulo,Survival ,-22.39575685,-47.54413552,Not Precise 
C0073,Brazil,Goias,Survival ,-16.60302552,-49.26056135,Not Precise 
C0073,Brazil,Goias,Survival ,-16.60302552,-49.26056135,Not Precise 
C0073,Brazil,Goias,Survival ,-16.60302552,-49.26056135,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0084,Brazil,Rio Grande do Sul,Survival ,-31.802349,-52.41556572,Not Precise 
C0093,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0093,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0189,China ,Yunnan,Survival ,25.0464,102.7094,Not Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
C0191,Brazil,Minas Gerais ,Survival ,-20.76763505,-42.85878545,Precise 
